objectid,filename,youtubeid,vimeoid,identifier,title,creator,custodian,date,type,format,description,event_type,no_frames,condition,language,subject,subject_admin,subject_person,subject_place,subject_object,source,link,rights,rightsstatement
plma_00011,https://github.com/mrlessegers/plma_trial/blob/main/objects/2025-01-30/BB_Box_01_ID_041.jpg?raw=true,,,BB_Box_01_ID_041,"Kontra Kartel Rally by SAKAMAY at Ayala Avenue, Nov. 12, 1999","Esclanda, Leonardo, “Boy Bagwis” ",Philippine Labor Movement Archive,1999-11-12,Negative,image/jpg,"
The Kontra Kartel Rally organized by the Sandigan ng mga Kawani at Manggagawa ng Mamamayan ng Kamaynilaan (SAKAMAY) took place along Ayala Avenue on November 12, 1999. Protesters gathered in solidarity to express opposition against corporate monopolies and cartels. As a symbolic act of resistance, they tied black ribbons in front of the Caltex Building, signifying their protest against perceived injustices and advocating for workers' rights. The demonstration highlighted public dissent over economic policies affecting workers and the broader community.",Protest,30,With bubbles and liquid marks,en,Economic Fight-Wage; ,Estrada Regime (1998 - 2001),Sandigan ng mga Kawani at Manggagawa ng Mamamayan sa Kamaynilaan (SAKAMAY),Makati,,Boy Bagwis Collection,,"In Copyright - Educational Use Permitted. For more information, please contact Philippine Labor Movement Archive at laborarchive.ph@gmail.com.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en
plma_00012,https://github.com/mrlessegers/plma_trial/blob/main/objects/2025-01-30/BB_Box_01_ID_043.jpg?raw=true,,,BB_Box_01_ID_043,"Labor Day protest last May 1, 2001.","Esclanda, Leonardo, “Boy Bagwis” ",Philippine Labor Movement Archive,2001-05-01,Negative,image/jpg,"Labor Day protest last May 1, 2001.",Protest,34,With bubbles and liquid marks,fil,Economic Fight-Wage; Sectoral Themes-Multisectoral; ,Arroyo Regime (2001-2010),"Bayan Muna; Deunida, Carmen, ""Ka Mameng""; Beltran, Crispin ""Ka Bel""",Manila,,Boy Bagwis Collection,,"In Copyright - Educational Use Permitted. For more information, please contact Philippine Labor Movement Archive at laborarchive.ph@gmail.com.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en
plma_00013,https://github.com/mrlessegers/plma_trial/blob/main/objects/2025-01-30/BB_Box_01_ID_048.jpg?raw=true,,,BB_Box_01_ID_048,"Nagpiket ang mga tsuper mula sa Piston sa Harapan ng DOTC at Kompanya ng langis (Nov 22, 2001) / Akmang namalo ang isang riot police ng biglang sumugod ang mga manggagawa at kabataan sa harap ng embahada ng Kano (Nobyembre 19, 2001)","Esclanda, Leonardo, “Boy Bagwis” ",Philippine Labor Movement Archive,2001-11-19; 2001-11-22,Negative,image/jpg,"Event 1; 2001 November 19 -  Police strike workers and youth protesters approaching the US Embassy in Manila. Kilusang Mayo Uno opposed US bases and the Mutual Logistics Support Act (MLSA) with the US government, and for the junking of the World Trade Organisation (WTO); Event 2; 2001 November 22 - Transport workers from PISTON hold a picket in front of the Department of Transport and Communications (DOTC) and oil companies, calling for oil price rollbacks, the nationalization of the oil industry, the junking of a proposed drug test law seen as another source of govermment corruption, and the arbitrary confiscation of transport workers drivers' licenses and plates.",Protest,24,With bubbles and liquid marks,fil; en,Anti-Imperialist-Anti US; Economic Fight-Price Hike; Anti-Imperialist-Neoliberalism,Arroyo Regime (2001-2010),Pagkakaisa ng mga Samahan ng Tsuper at Opereytor Nationwide (PISTON); PISTON-PROMADOA; CDA-PISTON-NCR; Kilusang Mayo Uno (KMU); Pambansang Lakas ng Kilusang Mamamalakaya ng Pilipinas (PAMALAKAYA); Pambansang Ugnayan ng mga Mamamayan Laban sa Liberalisasyon ng Agrikultura II (PUMALAG II),Manila; US Embassy; Makati,,Boy Bagwis Collection,,"In Copyright - Educational Use Permitted. For more information, please contact Philippine Labor Movement Archive at laborarchive.ph@gmail.com.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en
plma_00014,https://github.com/mrlessegers/plma_trial/blob/main/objects/2025-01-30/BB_Box_01_ID_050.jpg?raw=true,,,BB_Box_01_ID_050,"Justice Not War Coalition Presscon: Danilo Ramos and Sr. Mary Grenough Condemn US Policies, Sept. 9, 2002","Esclanda, Leonardo, “Boy Bagwis” ",Philippine Labor Movement Archive,2002-09-09,Negative,image/jpg,"Justice not war Coalition Press Conference.

Inilarawan ni Danilo Ramos ng KMP na si Pres. Bush ng US bilang pangunahing terorista sa mundo at si Pangulong Arroyo ang pangunaging tuta o tagasunod nito sa asya sa isinagawang presscon na isinagawa para makidalamhati sa naganap na Sept. 11, 2001 atake sa New York na kung sa kasama ang mga Pilipinong nasawi. (kaliwa) si Sr. Mary Grenough isang American citezen at tagapagsalita ng Justice Not War Coalition. (Sept. 09, 2002)",Press Conference,33,With bubbles and liquid marks,fil,Anti-Imperialist-Anti US; Sectoral Themes-Peasant; Economic Fight-Price Hike,Arroyo Regime (2001-2010),"Justice Not War Coalition; Grenough, Mary Sr.; Ramos, Danilo; Kilusang Mambubukid ng Pilipinas (KMP); Kalipunan ng Damayang Mahihirap (KADAMAY); Kilusang Mayo Uno (KMU); Bush, George; Macapagal-Arroyo, Gloria",Unknown,,Boy Bagwis Collection,,"In Copyright - Educational Use Permitted. For more information, please contact Philippine Labor Movement Archive at laborarchive.ph@gmail.com.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en
plma_00015,https://github.com/mrlessegers/plma_trial/blob/main/objects/2025-01-30/BB_Box_01_ID_054.jpg?raw=true,,,BB_Box_01_ID_054,"Manila Hotel Workers Protest at City Hall (Undated) / Tuition Fee Protest Dispersal at Mendiola, Feb. 13, 2000","Esclanda, Leonardo, “Boy Bagwis” ",Philippine Labor Movement Archive,2000-02-13,Negative,image/jpg,"The Manila Hotel Workers' protest at the Manila City Hall focused on labor rights and demands for fair treatment, though the exact date of the demonstration remains unknown. Meanwhile, a tuition fee protest held at Mendiola on February 13, 2000, ended in a violent dispersal. Students and activists rallied against rising education costs, advocating for accessible education for all. Both events reflect the continuing struggles for labor rights and education reform in the Philippines.",Protest,28,With bubbles and liquid marks,fil,Economic Fight-Price Hike; Anti-Fascist-Ouster; Police Dispersal,Estrada Regime (1998 - 2001),ANAKBAYAN-Sta. Mesa; Bagong Alyansang Makabayan (BAYAN); Kilusang Mayo Uno (KMU); League of Filipino Students (LFS); National Federation of Labor Unions - Kilusang Mayo Uno (NAFLU-KMU),Manila; Mendiola,,Boy Bagwis Collection,,"In Copyright - Educational Use Permitted. For more information, please contact Philippine Labor Movement Archive at laborarchive.ph@gmail.com.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en
plma_00016,https://github.com/mrlessegers/plma_trial/blob/main/objects/2025-01-30/BB_Box_01_ID_073.jpg?raw=true,,,BB_Box_01_ID_073,"Nagmartsa ang grupo ng mga kawaning gobyerno upang tutulan nito ang pagsasapribado ng mga tanggapan ng gobyerno. Hinamon rin nila si Pangulong Arroyo sa mga pangako nito bago paseya naupo bilang pangulo noong EDSA 2. (Sept. 27, 2002)","Esclanda, Leonardo, “Boy Bagwis” ",Philippine Labor Movement Archive,2002-09-27,Negative,image/jpg,"Government workers protest then-President Gloria Macapagal Arroyo's plan to abolish the National Printing Office (NPO) to supposedly cut public spending, which would result to lay-offs. They also call on Arroyo to fulfill the promises she made during the Second EDSA People Power uprising that put her into power. ""Rigging"" of the 2004 elections was also feared with the NPO abolition, with the possibility of transferring the task of printing election paraphernalia from the NPO to private entities (Santos, 2002).",Protest,16,With bubbles and liquid marks,en; fil,Sectoral Themes-Government Employees; Anti-Imperialist-Neoliberalism; ,Arroyo Regime (2001-2010),"Kilusang Mayo Uno (KMU); National Printing Office (NPO); Macapagal-Arroyo, Gloria",Manila,,Boy Bagwis Collection,,"In Copyright - Educational Use Permitted. For more information, please contact Philippine Labor Movement Archive at laborarchive.ph@gmail.com.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en
plma_00017,https://github.com/mrlessegers/plma_trial/blob/main/objects/2025-01-30/BB_Box_01_ID_077.jpg?raw=true,,,BB_Box_01_ID_077,Workers unfurl P125 wage hike banner over MRT in Mendiola Sept 30 2002,"Esclanda, Leonardo, “Boy Bagwis” ",Philippine Labor Movement Archive,2002-09-30,Negative,image/jpg,Nagladlad ng malaking streamer ng P125 across the board ang mga manggagawa sa ibabaw ng MRT sa mendiola upang hilingin sa pamahalaan na dagdag na sahod ng mga manggagawa. (Sept. 30. 2002),Protest,15,With bubbles and liquid marks,fil,Economic Fight-Wage; ,Arroyo Regime (2001-2010),Kilusang Mayo Uno (KMU),Manila; Mendiola,,Boy Bagwis Collection,,"In Copyright - Educational Use Permitted. For more information, please contact Philippine Labor Movement Archive at laborarchive.ph@gmail.com.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en
plma_00018,https://github.com/mrlessegers/plma_trial/blob/main/objects/2025-01-30/BB_Box_01_ID_082.jpg?raw=true,,,BB_Box_01_ID_082,"Revolutionary Council of Trade Unions (RCTU) Lightning Rally Divisoria June 12, 2003","Esclanda, Leonardo, “Boy Bagwis” ",Philippine Labor Movement Archive,2003-06-12,Negative,image/jpg,Revolutionary Council of Trade Unions RCTU held a lightning rally in Divisoria on June 12 2003 to protest labor conditions and demand workers' rights.,Protest,18,With bubbles and liquid marks,fil,Armed Struggle; Anti-Fascist-Karapatan - Rights and Welfare : Union Busting; ,Arroyo Regime (2001-2010),Sandigan ng Manggagawa ng Shoemart-National Federation of Workers Unions-Kilusang Mayo Uno (SMS-NFWU-KMU); Revolutionary Council of Trade Unions (RCTU),Manila; Divisoria,,Boy Bagwis Collection,,"In Copyright - Educational Use Permitted. For more information, please contact Philippine Labor Movement Archive at laborarchive.ph@gmail.com.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en
plma_00019,https://github.com/mrlessegers/plma_trial/blob/main/objects/2025-01-30/BB_Box_01_ID_085.jpg?raw=true,,,BB_Box_01_ID_085,SM Dispersal June 2003,"Esclanda, Leonardo, “Boy Bagwis” ",Philippine Labor Movement Archive,2003-06,Negative,image/jpg,"Shoemart (SM) workers in Quezon City dispersed in June 2003. The Sandigan ng Manggagawa ng Shoemart (SMS) launched their picket line in March 2003, with a wave of strikes across SM branches in the year, calling for the end to contractualization and a boycott (Bulatlat.com, 2003; CWR, 2019).",Strike,13,With bubbles and liquid marks,en; fil,Economic Fight-Wage; Police Dispersal; Anti-Fascist-Karapatan - Rights and Welfare : Union Busting,Arroyo Regime (2001-2010),Sandigan ng Manggagawa ng Shoemart-National Federation of Workers Unions-Kilusang Mayo Uno (SMS-NFWU-KMU),Quezon City,,Boy Bagwis Collection,,"In Copyright - Educational Use Permitted. For more information, please contact Philippine Labor Movement Archive at laborarchive.ph@gmail.com.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en
plma_00020,https://github.com/mrlessegers/plma_trial/blob/main/objects/2025-01-30/BB_Box_01_ID_086.jpg?raw=true,,,BB_Box_01_ID_086,"Police Block Protest at US Embassy on 9/11 Anniversary, Sept. 11, 2002","Esclanda, Leonardo, “Boy Bagwis” ",Philippine Labor Movement Archive,2002-09-11,Negative,image/jpg,"Hinarang ng mga pulis ang nagsasagawa  ng protesta sa harapan ng embahada ng US sa isang paggunita nito sa Sept. 11 bombing sa New York. Nagtulos ng mga kandila ang mga raliyesta malapit sa embahada habang isinisigaw ""george bush no. 1 terorista' (Sept. 11, 2002)",Protest,16,With bubbles and liquid marks,fil,Anti-Imperialist-Anti US; Police Dispersal; Sectoral Themes-Multisectoral,Arroyo Regime (2001-2010),Bagong Alyansang Makabayan (BAYAN),Manila; US Embassy,,Boy Bagwis Collection,,"In Copyright - Educational Use Permitted. For more information, please contact Philippine Labor Movement Archive at laborarchive.ph@gmail.com.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en
plma_00021,https://github.com/mrlessegers/plma_trial/blob/main/objects/2025-01-30/BB_Box_01_ID_092.jpg?raw=true,,,BB_Box_01_ID_092,SM Strike Cubao 2003,"Esclanda, Leonardo, “Boy Bagwis” ",Philippine Labor Movement Archive,2003-06; 2003-07,Negative,image/jpg,SM Strike Cubao 2003,Strike,8,With bubbles and liquid marks,fil,Economic Fight-Wage; Anti-Fascist-Karapatan - Rights and Welfare : Union Busting; ,Arroyo Regime (2001-2010),Shoemart (SM); Sandigan ng Manggagawa ng Shoemart-National Federation of Workers Unions-Kilusang Mayo Uno (SMS-NFWU-KMU),Quezon City; Cubao,,Boy Bagwis Collection,,"In Copyright - Educational Use Permitted. For more information, please contact Philippine Labor Movement Archive at laborarchive.ph@gmail.com.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en
plma_00022,https://github.com/mrlessegers/plma_trial/blob/main/objects/2025-01-30/BB_Box_01_ID_098.jpg?raw=true,,,BB_Box_01_ID_098,Manggagawa @ maralita nagdeklara ng gera kay gloria Oktubre 2001,"Esclanda, Leonardo, “Boy Bagwis” ",Philippine Labor Movement Archive,2001-10,Negative,image/jpg,Manggagawa at maralita nagdeklara ng gera kay Gloria Macapagal Arroyo noong Oktubre 2001. Nanawagan silang itaas ang sahod ng PhP 125 across-the-board at ang pagbuwag sa mga regional wage board.,Press Conference,12,With bubbles and liquid marks,fil,Economic Fight-Wage; Anti-Fascist-Condemnation; ,Arroyo Regime (2001-2010),"Gaite, Ferdinand; Navarro, Lita; Labog, Elmer ""Ka Bong""; Deunida, Carmen, ""Ka Mameng""; Beltran, Crispin ""Ka Bel""; Arao, Danilo; Macapagal-Arroyo, Gloria",Manila,,Boy Bagwis Collection,,"In Copyright - Educational Use Permitted. For more information, please contact Philippine Labor Movement Archive at laborarchive.ph@gmail.com.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en
plma_00023,https://github.com/mrlessegers/plma_trial/blob/main/objects/2025-01-30/BB_Box_01_ID_099.jpg?raw=true,,,BB_Box_01_ID_099,Picket of KADAMAY at the Ombudsman Office (not dated).,"Esclanda, Leonardo, “Boy Bagwis” ",Philippine Labor Movement Archive,n.d.,Negative,image/jpg,A picket organized by KADAMAY was held outside the Ombudsman Office.,Protest,8,With bubbles and liquid marks,fil,Sectoral Themes-Urban Poor; ,Arroyo Regime (2001-2010),Kalipunan ng Damayang Mahihirap (KADAMAY),Quezon City; Ombudsman,,Boy Bagwis Collection,,"In Copyright - Educational Use Permitted. For more information, please contact Philippine Labor Movement Archive at laborarchive.ph@gmail.com.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en
plma_00024,https://github.com/mrlessegers/plma_trial/blob/main/objects/2025-01-30/BB_Box_01_ID_101.jpg?raw=true,,,BB_Box_01_ID_101,"Nag-alay at itinaas ang mga bulaklak ang grupo ng Kilusang Mayo Uno bilang tanda nito sa paggunita ng Sept. 11 New York bombmig sa malapit sa embahada ng Estados Unido. (Sept. 11, 2002)","Esclanda, Leonardo, “Boy Bagwis” ",Philippine Labor Movement Archive,2002-09-11,Negative,image/jpg,"Nagalay at itinaas ang mga bulaklak ang grupo ng Kilusang Mayo Uno bilang tanda nito sa paggunita ng Sept. 11 New York bombmig sa malapit sa embahada ng Estados Unido. (Sept. 11, 2002)",Protest,15,With bubbles and liquid marks,fil,Anti-Imperialist-Anti US; ,Arroyo Regime (2001-2010),Kilusang Mayo Uno (KMU); Kalipunan ng Damayang Mahihirap (KADAMAY),Manila; US Embassy,,Boy Bagwis Collection,,"In Copyright - Educational Use Permitted. For more information, please contact Philippine Labor Movement Archive at laborarchive.ph@gmail.com.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en
plma_00025,https://github.com/mrlessegers/plma_trial/blob/main/objects/2025-01-30/BB_Box_01_ID_104.jpg?raw=true,,,BB_Box_01_ID_104,Labor Grievance St. Escolastica Feb. 6 1983,"Esclanda, Leonardo, “Boy Bagwis” ",Philippine Labor Movement Archive,1983-02-06,Negative,image/jpg,Labor Grievance St. Escolastica Feb. 6 1983,Forum,15,Crispy/Brittle Condition,en,Sectoral Themes-Teachers; ,Marcos Regime (1966-1986),St. Scholastica,Manila; St. Scholastica,,Boy Bagwis Collection,,"In Copyright - Educational Use Permitted. For more information, please contact Philippine Labor Movement Archive at laborarchive.ph@gmail.com.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en
